ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset,NEW_STATUS
2,3.0,5.61,0.0,5.61,2,2,3,0,0,2,3,2,0,0,9,6.0,3.0,5.0,5.0,11,0.0,707.0,1,23.0,43036.0,43036.0,0.0,0.0,0.0,43036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,new data,0
1,1.0,175.84,175.84,0.0,1,1,1,1,0,0,1,1,0,1,2,1.0,0.0,0.0,0.0,3,1.0,-1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,new data,0
2,1.0,78.45,78.45,54.35,2,3,0,1,0,2,0,3,0,1,0,1.0,0.0,0.0,1.0,3,0.0,1004552.0,2,1.0,2000633.0,2000633.0,0.0,0.0,0.0,2000633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009096.0,1,new data,0
1,0.0,73.42,73.42,0.0,1,1,0,1,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,2,0.0,-1.0,2,0.0,2088.0,2088.0,0.0,2088.0,2088.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
1,0.0,11.97,0.0,11.97,1,1,1,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,284.0,1,1.0,284.0,284.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0,new data,0
1,0.0,84.9,84.9,0.0,1,1,0,1,0,0,0,1,1,0,7,0.0,0.0,0.0,0.0,8,0.0,-1.0,1,0.0,26.0,26.0,26.0,26.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
1,0.0,172.26,0.0,172.26,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,397.8794,386.0612,2,865.0,21513.0634,0.0,0.0,0.0,0.0,21513.0634,0.0,0.0,0.0,397.8794,0.0,0.0,0.0,386.0612,1,new data,0
3,5.0,202.0,202.0,29.45,3,4,0,1,0,3,0,4,0,1,8,5.0,0.0,1.0,4.0,12,2904.0,79.0,2,0.0,3188.0,3188.0,0.0,284.0,284.0,2904.0,284.0,0.0,284.0,3188.0,3188.0,0.0,284.0,80.0,2,new data,1
1,1.0,5.74,0.0,5.74,1,1,1,0,0,1,1,1,0,0,0,1.0,0.0,1.0,1.0,1,278.0,103.0,1,10.0,1033.0,1033.0,0.0,0.0,0.0,1033.0,0.0,0.0,0.0,278.0,278.0,0.0,0.0,103.0,2,new data,1
4,0.0,115.58,115.58,96.87,3,5,0,4,0,1,0,5,2,2,4,0.0,0.0,0.0,0.0,9,36734.0,232.0,1,29.0,74208.0,74208.0,5590.0,67378.0,61788.0,6830.0,75551.0,13763.0,61788.0,67610.0,67610.0,5590.0,67378.0,232.0,2,new data,1
