ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset
1,1.0,31.0,31.0,31.0,2,2,0,1,0,1,0,1,1,0,0,1.0,0.0,0.0,1.0,2,0.0,2140.0,1,2573.0,585869.0,0.0,0.0,0.0,0.0,585869.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,2140.0,0,bik
1,0.0,81.0,81.0,0.0,1,1,0,1,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,2,0.0,-1.0,1,0.0,1995.0,1995.0,0.0,1995.0,1995.0,0.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0,bik
0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,-1.0,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,59.0,59.0,0.0,1,1,0,1,0,0,0,1,0,1,3,0.0,0.0,0.0,0.0,5,0.0,-1.0,1,0.0,708.0,708.0,0.0,708.0,708.0,0.0,1200.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0,bik
3,3.0,92.0,92.0,21.0,4,7,4,3,1,4,3,7,1,2,7,3.0,0.0,1.0,3.0,14,0.0,600.0,1,2.0,45932.0,45932.0,604.0,3580.0,2976.0,42352.0,4500.0,1000.0,3500.0,0.0,0.0,0.0,0.0,1414.0,0,bik
1,1.0,147.0,147.0,4.0,2,2,1,1,0,1,1,2,0,1,1,3.0,0.0,1.0,1.0,3,0.0,0.0,1,0.0,25570.0,25570.0,0.0,0.0,0.0,25570.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,bik
2,2.0,65.0,0.0,65.0,1,3,0,0,0,3,0,0,0,0,0,4.0,0.0,0.0,1.0,3,0.0,1063.0,2,305.0,751926.0,0.0,0.0,0.0,0.0,751926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,0,bik
1,1.0,8.0,0.0,8.0,1,1,1,0,0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,0.0,779.0,4,178.0,138318.0,0.0,0.0,0.0,0.0,138318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,0,bik
1,0.0,46.0,46.0,31.0,2,3,0,1,0,2,0,1,0,1,2,0.0,0.0,0.0,0.0,5,0.0,652.0,2,2679.0,212228.0,6824.0,0.0,6824.0,6824.0,205404.0,7300.0,0.0,7300.0,0.0,0.0,0.0,0.0,766.0,0,bik
0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,0.0,1.0,1,-1.0,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,1.0,6.0,0.0,6.0,1,1,1,0,0,1,1,1,0,0,0,1.0,0.0,0.0,1.0,1,0.0,101.0,1,6.0,593.0,593.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,bik
1,1.0,4.0,0.0,4.0,1,1,1,0,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1,0.0,1313.0,2,155.0,204169.0,0.0,0.0,0.0,0.0,204169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.0,0,bik
2,11.0,208.0,208.0,29.0,2,3,0,1,0,2,0,3,0,1,1,15.0,1.0,1.0,6.0,4,68353.0,2196.0,2,46.0,92696.0,92696.0,0.0,24343.0,24343.0,68353.0,30000.0,0.0,30000.0,68353.0,68353.0,0.0,0.0,3696.0,0,bik
1,1.0,3.0,0.0,3.0,1,1,1,0,0,1,1,1,0,0,1,1.0,0.0,1.0,1.0,2,0.0,205.0,1,28.0,5692.0,5692.0,0.0,0.0,0.0,5692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0,bik
3,0.0,142.0,142.0,40.0,2,3,0,1,0,2,0,3,0,1,0,0.0,0.0,0.0,0.0,3,0.0,260.0,3,25.0,14181.0,14181.0,0.0,4355.0,4355.0,9826.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,347.0,0,bik
1,0.0,180.0,180.0,0.0,1,1,0,1,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,2,0.0,-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0,bik
