ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
4;1;40,1;40,1;15,1;3;4;1;2;0;2;1;4;1;1;2;1;1;1;1;6;0;499;1;22;22885;22885;1017;1987;970;20898;2000;1000;1000;0;0;0;0;677;1
4;4;12,65;12,65;12,48;3;5;3;1;0;4;3;5;1;0;0;4;0;0;2;5;848;175;1;13;13015;13015;1202;1202;0;11813;1000;1000;0;2069;2069;404;404;528;1
2;1;24,26;24,26;11,61;3;3;2;2;1;1;1;3;1;1;0;1;0;0;0;3;215;666;1;12;8433;8433;1;225;224;8208;1224;1000;224;216;216;1;216;666;1
1;0;119,74;0;119,74;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2019;969;2;2;2019;2019;0;0;0;2019;0;0;0;2019;2019;0;0;969;1
4;0;37,55;31,23;37,55;3;9;0;1;0;8;0;9;0;1;4;0;0;0;0;13;8861;31372;1;24;35770;35770;0;5123;5123;30647;3000;0;3000;28318;28318;0;5123;31681;1
2;0;101,16;101,16;34,16;2;3;0;1;0;2;0;3;1;0;1;0;0;0;0;4;11960;282;1;3;17557;17557;11960;11960;0;5597;11960;11960;0;17557;17557;11960;11960;282;1
3;0;51,45;51,45;47,23;3;6;0;3;0;3;0;6;3;0;4;0;0;0;0;10;8812;5277;1;2;24227;24227;11877;11877;0;12350;7700;7700;0;24227;24227;11877;11877;5277;1
1;0;107,9;0;107,9;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;19460;267;2;90;24071;24071;0;0;0;24071;0;0;0;19460;19460;0;0;267;1
1;0;32,97;0;32,97;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;5678;225;1;25;5678;5678;0;0;0;5678;0;0;0;5678;5678;0;0;225;1
5;6;43,48;43,48;35,55;4;11;0;2;0;9;0;11;0;2;12;6;0;0;1;23;12372;290;1;11;40209;40209;0;4892;4892;35317;9500;0;9500;27058;27058;0;4396;702;1
1;0;66,26;0;66,26;1;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;198746;0;2;0;252874;252874;0;0;0;252874;0;0;0;252874;252874;0;0;0;1
1;0;31,32;31,32;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1529;-1;1;0;1529;1529;1529;1529;0;0;1000;1000;0;1529;1529;1529;1529;0;1
1;0;128,94;0;128,94;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1022;67;1;15;1022;1022;0;0;0;1022;0;0;0;1022;1022;0;0;67;1
6;1;38,61;27,97;38,61;2;8;1;1;0;7;1;8;1;0;5;1;0;1;1;13;417;396;1;12;30547;30547;8;8;0;30539;500;500;0;497;497;0;0;1582;1
2;0;33,16;0;33,16;1;4;1;0;0;4;0;4;0;0;1;0;0;0;0;5;1558;233;1;3;4156;4156;0;0;0;4156;0;0;0;4156;4156;0;0;233;1
3;0;151,16;0;151,16;2;3;0;0;0;3;0;3;0;0;1;0;0;0;0;4;30763,6104;4900;3;1;45205,6104;45205,6104;0;0;0;45205,6104;0;0;0;45164,6104;45164,6104;0;0;5436,1169;1
1;0;52,32;0;52,32;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2954;0;1;0;2954;2954;0;0;0;2954;0;0;0;2954;2954;0;0;0;1
1;0;37,94;37,94;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;4000;-1;1;0;4000;4000;4000;4000;0;0;4000;4000;0;4000;4000;4000;4000;0;1
4;0;30,42;30,42;28,58;4;8;0;5;0;3;0;8;4;1;1;0;0;0;0;9;4358;1491,552;2;18;47350,1538;47350,1538;5532;9890;4358;37460,1538;21000;6000;15000;5004,4178;5004,4178;0;4358;2239,552;1
2;1;8,55;8,06;8,55;2;2;2;1;1;1;1;2;0;1;1;2;1;1;2;3;0;53;1;17;902;902;0;0;0;902;1500;0;1500;0;0;0;0;53;1
4;1;39,39;35,71;39,39;3;7;0;2;0;5;0;7;2;0;3;1;0;0;0;10;9786;934;1;0;31552;31552;16584;16584;0;14968;10500;10500;0;31455;31455;16487;16487;934;1
2;5;35,84;35,84;23,23;3;4;1;1;0;3;1;4;1;0;2;8;0;0;0;6;2606;417;1;16;23200;23200;441;441;0;22759;500;500;0;4529;4529;50;50;929;1
1;5;12,42;12,42;0;1;1;0;1;0;0;0;1;1;0;0;5;0;0;0;1;485;-1;1;0;2408;2408;2408;2408;0;0;2500;2500;0;485;485;485;485;0;1
1;0;97,06;0;97,06;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0;26,71;26,71;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1416;-1;1;0;1434;1434;1434;1434;0;0;1200;1200;0;1416;1416;1416;1416;0;1
6;0;39,42;39,42;35,74;4;11;0;3;0;8;0;11;2;1;10;0;0;0;0;21;16607;11292;1;1;72167;72167;3803;10012;6209;62155;8400;3400;5000;71704;71704;3340;9549;25280;1
3;0;39,84;29,55;39,84;3;5;0;1;0;4;0;4;1;0;1;0;0;0;0;6;415;564;2;6;102804;3894;1420;1420;0;101384;2000;2000;0;570;508;93;93;1482;1
3;8;43,52;43,52;22,39;4;5;3;2;1;3;2;5;1;1;6;10;3;5;8;11;251;281;1;0;26156;26156;1998;2466;468;23690;2500;2000;500;351;351;97;97;608;1
1;2;16,13;16,13;0;1;1;0;1;0;0;0;1;1;0;0;2;1;2;2;1;2526;-1;1;0;2566;2566;2566;2566;0;0;2000;2000;0;2526;2526;2526;2526;0;1
3;0;16,16;0;16,16;2;3;1;0;0;3;1;3;0;0;3;0;0;0;0;6;31686;478;2;66;36353;36353;0;0;0;36353;0;0;0;36353;36353;0;0;478;1
1;0;55,16;0;55,16;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;5919;3339;1;2;5919;5919;0;0;0;5919;0;0;0;5919;5919;0;0;3339;1
3;2;127,23;127,23;32,55;2;4;0;1;0;3;0;4;0;1;0;2;1;1;2;4;3462;160;1;24;7576;7576;0;0;0;7576;6000;0;6000;3709;3709;0;0;295;1
1;2;14,29;11,16;14,29;2;2;1;1;1;1;0;2;0;1;0;2;0;0;0;2;978;329;2;44;15388;15388;0;1015;1015;14373;1000;0;1000;978;978;0;0;329;1
4;0;39,1;0;39,1;2;7;0;0;0;7;0;7;0;0;3;0;0;0;0;10;2344;350;1;2;13905;13905;0;0;0;13905;0;0;0;10432;10432;0;0;602;1
5;0;49,48;44,16;49,48;2;8;0;2;0;6;0;8;2;0;4;0;0;0;0;12;14848;8463;1;2;49254;49254;5240;5240;0;44014;3700;3700;0;49254;49254;5240;5240;8706;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8;0;38,23;38,23;33,1;4;10;11;4;0;6;11;10;2;2;31;0;0;0;0;41;8622;456;2;1;56955;56955;10386;12645;2259;44310;12512;10300;2212;30582;30582;6828;9074;1250;1
1;1;13,61;0;13,61;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;625;1;46;28907;28907;0;0;0;28907;0;0;0;0;0;0;0;625;1
1;0;50,1;0;50,1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1730;0;1;0;1730;1730;0;0;0;1730;0;0;0;1730;1730;0;0;0;1
1;0;84,97;0;84,97;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1842;481;1;4;1842;1842;0;0;0;1842;0;0;0;1842;1842;0;0;481;1
2;0;131,97;131,97;60,1;2;2;0;1;0;1;0;2;0;1;1;0;0;0;0;3;427;0;1;0;731;731;0;304;304;427;300;0;300;431;431;0;4;0;1
4;6;27,06;27,06;27;3;6;0;3;0;3;0;6;2;1;4;6;0;0;0;10;44549;37054;1;1;67413;67413;3259;10467;7208;56946;8400;2400;6000;65065;65065;3259;10467;37174;1
4;1;43,32;43,32;41,03;4;5;0;2;0;3;0;5;1;1;0;9;9;9;9;6;34321;1710;2;2;44221;44221;5353;5359;6;38862;7300;7000;300;44221;44221;5353;5359;1780;1
4;1;58;57,97;58;2;11;0;4;0;7;0;11;4;0;1;1;0;1;1;12;23018;1425;1;7;109661;109661;19351;19351;0;90310;16200;16200;0;77651;77651;10828;10828;4865;1
1;0;17,94;17,94;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;261;-1;2;0;261;261;0;261;261;0;261;0;261;261;261;0;261;0;1
1;0;53,68;0;53,68;1;2;0;0;0;2;0;2;0;0;1;0;0;0;0;3;7204;0;1;0;13120;13120;0;0;0;13120;0;0;0;13120;13120;0;0;0;1
3;0;84,55;81,87;84,55;2;3;0;2;0;1;0;3;2;0;2;0;0;0;0;5;6043;249;1;0;11187;11187;11175;11175;0;12;7000;7000;0;11123;11123;11123;11123;249;1
1;0;65,29;0;65,29;1;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;16383;0;1;0;18674;18674;0;0;0;18674;0;0;0;18674;18674;0;0;0;1
2;0;54,58;0;54,58;2;3;0;0;0;3;0;3;0;0;2;0;0;0;0;6;76325;0;1;0;146341;146341;0;0;0;146341;0;0;0;146341;146341;0;0;0;1
1;0;98,48;0;98,48;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;5785;0;1;0;5785;5785;0;0;0;5785;0;0;0;5785;5785;0;0;0;1
1;0;72,45;0;72,45;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;54;426;2;0;54;54;0;0;0;54;0;0;0;54;54;0;0;426;1
1;0;15,87;0;15,87;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;3005;258;1;44;11427;11427;0;0;0;11427;0;0;0;3005;3005;0;0;258;1
2;1;15,65;0;15,65;2;2;0;0;0;2;0;2;0;0;1;1;0;0;0;4;346;263;2;6;7836;7836;0;0;0;7836;0;0;0;574;574;0;0;323;1
1;0;96,45;0;96,45;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;1;73,45;73,45;22,68;2;2;0;1;0;1;0;2;0;1;0;1;0;0;0;2;13531;0;1;0;13660;13660;0;129;129;13531;300;0;300;13531;13531;0;0;0;1
6;0;46,81;46,81;33,58;4;9;0;5;0;4;0;9;4;1;10;0;0;0;0;19;565;565;1;6;38497;38497;4382;4668;286;33829;6400;6100;300;1530;1530;247;247;1071;1
3;0;48,52;48,52;35,74;3;4;0;2;0;2;0;4;2;0;2;0;0;0;0;6;680;257;1;2;1179;1179;0;0;0;1179;3000;3000;0;680;680;0;0;352;1
1;0;109,55;0;109,55;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1482;0;1;0;1482;1482;0;0;0;1482;0;0;0;1482;1482;0;0;0;1
1;3;6;0;6;1;1;2;0;0;1;2;1;0;0;4;4;1;1;2;5;0;2093;2;90;189236;189236;0;0;0;189236;0;0;0;0;0;0;0;2093;1
1;0;29,9;0;29,9;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;504;1;17;8494;8494;0;0;0;8494;0;0;0;0;0;0;0;504;1
2;0;50,23;0;50,23;2;2;0;0;0;2;0;2;0;0;1;0;0;0;0;4;5567;0;1;0;10166;10166;0;0;0;10166;0;0;0;10166;10166;0;0;0;1
2;2;41,68;0;41,68;1;2;0;0;0;2;0;2;0;0;2;2;1;1;2;4;6759;610;1;0;6759;6759;0;0;0;6759;0;0;0;6759;6759;0;0;610;1
3;0;101,87;0;101,87;2;3;0;0;0;3;0;3;0;0;0;0;0;0;0;3;6001;2472;1;2;11685;11685;0;0;0;11685;0;0;0;11685;11685;0;0;2614;1
3;0;158,13;158,13;121,1;4;5;0;2;0;3;0;4;0;2;0;0;0;0;0;6;16470,8877;0;2;0;29875,1792;13404,2915;0;4004;4004;25871,1792;4106;0;4106;26177,1792;9706,2915;0;306;0;1
2;0;34,77;34,77;25,68;2;2;0;1;0;1;0;2;1;0;0;0;0;0;0;2;2667;0;1;0;2667;2667;0;0;0;2667;5000;5000;0;2667;2667;0;0;0;1
5;2;38;38;38;4;7;1;3;0;4;1;7;2;1;0;2;0;0;2;7;4670,4222;4744,9998;1;35;1000985,991;1000985,991;29408;29408;0;971577,9914;37300;32300;5000;6627,4222;6627,4222;0;0;10146,9998;1
1;0;58,68;0;58,68;1;1;0;0;0;1;0;1;0;0;2;0;0;0;0;3;70505;64550;2;1;70505;70505;0;0;0;70505;0;0;0;70505;70505;0;0;64550;1
9;0;94,9;94,9;46,74;4;19;0;8;0;11;0;19;5;3;7;0;0;0;0;26;69460;14636;2;1;225085;225085;16439;29361;12922;195724;30885;17885;13000;220770;220770;14527;25046;49409;1
5;0;61,87;8,77;61,87;3;5;1;1;1;4;0;5;0;1;2;0;0;0;0;7;2310;7483;2;0;8551;8551;0;3117;3117;5434;3000;0;3000;5434;5434;0;0;7483;1
1;0;35,32;35,32;34,35;2;3;0;1;0;2;0;1;0;1;0;0;0;0;0;3;6650,5178;3518,2568;1;1729;1216287,341;100;0;100;100;1216187,341;100;0;100;6650,5178;0;0;0;7001,7107;1
1;1;32,55;0;32,55;1;2;0;0;0;2;0;2;0;0;0;1;0;0;0;2;4770;0;1;0;4770;4770;0;0;0;4770;0;0;0;4770;4770;0;0;0;1
1;0;37,52;0;37,52;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1331;51;1;26;1331;1331;0;0;0;1331;0;0;0;1331;1331;0;0;51;1
2;1;40,03;0;40,03;2;2;0;0;0;2;0;2;0;0;2;1;1;1;1;4;189;189;1;11;2064;2064;0;0;0;2064;0;0;0;189;189;0;0;189;1
