id;ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
6053;1;;67,03;;67,03;1;1;0;0;0;1;0;0;0;0;0;;;;;1;0;873,2364;3;1017;88756,8867;;;;;88756,8867;;;;0;;;;873,2364;0
6054;1;;137,55;137,55;;2;2;0;2;0;0;0;2;1;1;0;;;;;2;0;-1;1;;2952;2952;0;2952;2952;;4000;1000;3000;0;0;0;0;0;0
6055;1;;127,61;127,61;16,13;2;2;0;1;0;1;0;1;0;1;0;;;;;2;0;1188,09;2;3000;244751,8155;17490;;17490;17490;227261,8155;50000;;50000;0;0;;0;1188,09;0
6056;1;1;35,87;35,87;9,29;2;3;2;2;1;1;1;3;2;0;0;2;0;0;0;3;0;110;1;3;1944;1944;1619;1619;;325;2200;2200;;0;0;0;0;110;0
6057;0;;;;;0;0;0;0;0;0;0;0;0;0;2;;;;;3;-1;-1;-1;;;;;;;;;;;;;;;0;0
6058;1;3;1,23;;1,23;1;1;3;0;0;1;3;1;0;0;6;3;1;2;3;7;0;0;2;;30121;30121;;;;30121;;;;0;0;;;0;0
6059;3;1;20,74;;20,74;2;4;4;0;0;4;4;4;0;0;3;2;2;2;2;7;1;195;1;2;4456;4456;;;;4456;;;;1;1;;;482;0
6060;1;;41,06;41,06;;1;2;0;2;0;0;0;2;2;0;2;;;;;4;0;-1;1;;0;0;0;0;;;5100;5100;;0;0;0;0;0;0
6061;1;;129,45;129,45;;1;1;0;1;0;0;0;1;0;1;0;;;;;1;0;-1;2;;0;0;;0;0;;7300;;7300;0;0;;0;0;0
6062;2;1;27,9;;27,9;2;2;2;0;0;2;1;2;0;0;3;3;2;2;3;5;0;571;2;35;34894;34894;;;;34894;;;;0;0;;;835;0
6063;1;1;112,97;112,97;;1;1;0;1;0;0;0;1;0;1;3;1;1;1;1;4;0;-1;1;;0;0;;0;0;;2000;;2000;0;0;;0;0;0
6064;3;3;22,65;22,65;17,06;3;5;2;2;1;3;1;5;1;1;6;4;0;0;2;11;0;846;1;18;47924;47924;8943;8979;36;38945;24950;10000;14950;0;0;0;0;1510;0
6065;3;1;62,68;62,68;13;3;4;2;2;1;2;1;4;2;0;5;1;0;0;1;9;0;291;1;16;12556;12556;3180;3180;;9376;5500;5500;;0;0;0;0;411;0
6066;1;;31,13;31,13;;1;1;0;1;0;0;0;1;1;0;0;;;;;1;0;-1;1;;19;19;19;19;;;2000;2000;;0;0;0;0;0;0
6067;1;;136,61;136,61;;1;1;0;1;0;0;0;1;0;1;1;;;;;2;0;-1;1;;0;0;;0;0;;300;;300;0;0;;0;0;0
6068;1;;39,58;39,58;;1;1;0;1;0;0;0;1;1;0;1;;;;;2;0;-1;1;;0;0;0;0;;;3000;3000;;0;0;0;0;0;0
6069;1;;72,45;72,45;15,87;2;2;0;1;0;1;0;1;0;1;0;;;;;2;0;643;1;112;72202;251;;251;251;71951;4000;;4000;0;0;;0;643;0
6070;1;1;131,16;131,16;6,65;2;2;1;1;0;1;1;2;0;1;0;1;0;0;1;2;0;0;1;;4514;4514;;294;294;4220;300;;300;0;0;;0;0;0
6071;0;;;;;0;0;0;0;0;0;0;0;0;0;3;;;;;3;-1;-1;-1;;;;;;;;;;;;;;;0;0
6072;1;;8,77;;8,77;1;1;1;0;0;1;1;1;0;0;0;;;;;1;0;154;1;14;2224;2224;;;;2224;;;;0;0;;;154;0
6073;1;;28,32;28,32;20,32;3;3;1;2;1;1;0;3;1;1;1;;;;;4;0;134;1;17;3852;3852;1526;1526;0;2326;2000;1500;500;0;0;0;0;134;0
6074;1;1;2,1;;2,1;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;293;1;18;5173;5173;;;;5173;;;;0;0;;;293;0
6075;2;4;23,74;23,74;4;2;2;1;1;0;1;1;2;1;0;0;5;0;4;5;2;0;717;1;;2232;2232;2232;2232;;;3000;3000;;0;0;0;0;717;0
6076;2;;98,45;;98,45;2;2;0;0;0;2;0;1;0;0;0;;;;;2;0;743;2;19;100151,7398;14467;;;;100151,7398;;;;0;0;;;1445,3858;0
6077;1;;23,16;23,16;;1;1;0;1;0;0;0;1;1;0;1;;;;;2;0;-1;1;;520;520;520;520;;;500;500;;0;0;0;0;0;0
6078;1;1;9,19;;9,19;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;2;0;188;1;10;1800;1800;;;;1800;;;;0;0;;;188;0
